id,heading_font,body_font,description,style_tags,google_fonts_url
1,Inter,Roboto,Modern tech-focused pairing with clean geometric forms,tech;modern;clean;minimal,https://fonts.google.com/share?selection.family=Inter:wght@700|Roboto:wght@400
2,Playfair Display,Lato,Classic editorial pairing with elegant serif heading,editorial;elegant;classic;magazine,https://fonts.google.com/share?selection.family=Playfair+Display:wght@700|Lato:wght@400
3,Space Grotesk,Inter,Futuristic tech pairing with geometric character,futuristic;tech;geometric;modern,https://fonts.google.com/share?selection.family=Space+Grotesk:wght@700|Inter:wght@400
4,Merriweather,Open Sans,Traditional readable pairing for long-form content,traditional;readable;editorial;content,https://fonts.google.com/share?selection.family=Merriweather:wght@700|Open+Sans:wght@400
5,Poppins,Poppins,Unified rounded geometric pairing great for dashboards,rounded;friendly;dashboard;unified,https://fonts.google.com/share?selection.family=Poppins:wght@700;400
6,Montserrat,Source Sans Pro,Bold geometric heading with clean body for apps,bold;geometric;app;modern,https://fonts.google.com/share?selection.family=Montserrat:wght@700|Source+Sans+Pro:wght@400
7,DM Sans,DM Sans,Unified DM Sans for minimal modern interfaces,minimal;modern;unified;clean,https://fonts.google.com/share?selection.family=DM+Sans:wght@700;400
8,Raleway,Nunito,Elegant thin heading with rounded friendly body,elegant;friendly;rounded;light,https://fonts.google.com/share?selection.family=Raleway:wght@700|Nunito:wght@400
9,Oswald,Roboto,Strong condensed heading with neutral body text,strong;condensed;bold;sports,https://fonts.google.com/share?selection.family=Oswald:wght@700|Roboto:wght@400
10,Cormorant Garamond,Proza Libre,High-fashion luxury pairing with refined elegance,luxury;fashion;refined;editorial,https://fonts.google.com/share?selection.family=Cormorant+Garamond:wght@700|Proza+Libre:wght@400
11,Bebas Neue,Open Sans,Impact display heading with clean body for bold designs,impact;bold;display;poster,https://fonts.google.com/share?selection.family=Bebas+Neue|Open+Sans:wght@400
12,Nunito,Nunito Sans,Rounded unified pairing perfect for friendly apps,friendly;rounded;unified;app,https://fonts.google.com/share?selection.family=Nunito:wght@700|Nunito+Sans:wght@400
13,Josefin Sans,Josefin Slab,Art deco inspired geometric pairing,art-deco;geometric;vintage;elegant,https://fonts.google.com/share?selection.family=Josefin+Sans:wght@700|Josefin+Slab:wght@400
14,Syne,Syne,Experimental display pairing for bold creative projects,experimental;creative;bold;artistic,https://fonts.google.com/share?selection.family=Syne:wght@700;400
15,Manrope,Manrope,Versatile geometric humanist for modern products,versatile;humanist;modern;product,https://fonts.google.com/share?selection.family=Manrope:wght@700;400
16,Cabin,Cabin,Humanist sans pairing with character and warmth,humanist;warm;character;friendly,https://fonts.google.com/share?selection.family=Cabin:wght@700;400
17,Work Sans,Work Sans,Optimized for screen reading in web interfaces,screen;web;readable;clean,https://fonts.google.com/share?selection.family=Work+Sans:wght@700;400
18,Libre Baskerville,Source Serif Pro,Classic book typography with timeless appeal,classic;book;timeless;literary,https://fonts.google.com/share?selection.family=Libre+Baskerville:wght@700|Source+Serif+Pro:wght@400
19,Righteous,Roboto,Fun retro display pairing for gaming and entertainment,retro;gaming;fun;display,https://fonts.google.com/share?selection.family=Righteous|Roboto:wght@400
20,Cinzel,Raleway,Ancient Roman inspired heading with modern body,ancient;roman;classical;luxury,https://fonts.google.com/share?selection.family=Cinzel:wght@700|Raleway:wght@400
21,Archivo Black,Archivo,Strong unified pairing for impactful design systems,strong;unified;impact;systematic,https://fonts.google.com/share?selection.family=Archivo+Black|Archivo:wght@400
22,Lexend,Lexend,Optimized for reading proficiency and accessibility,accessible;readable;inclusive;clear,https://fonts.google.com/share?selection.family=Lexend:wght@700;400
23,Barlow,Barlow Condensed,Athletic geometric condensed pairing for sports,athletic;sports;condensed;geometric,https://fonts.google.com/share?selection.family=Barlow:wght@700|Barlow+Condensed:wght@400
24,Exo 2,Titillium Web,Sci-fi inspired pairing for tech and gaming projects,sci-fi;tech;gaming;futuristic,https://fonts.google.com/share?selection.family=Exo+2:wght@700|Titillium+Web:wght@400
25,Bitter,Lato,Traditional serif heading for professional editorial,traditional;professional;editorial;serif,https://fonts.google.com/share?selection.family=Bitter:wght@700|Lato:wght@400
26,Red Hat Display,Red Hat Text,Red Hat unified system pairing for technical docs,technical;unified;docs;systematic,https://fonts.google.com/share?selection.family=Red+Hat+Display:wght@700|Red+Hat+Text:wght@400
27,Albert Sans,Albert Sans,Minimal Scandinavian-influenced clean pairing,scandinavian;minimal;clean;design,https://fonts.google.com/share?selection.family=Albert+Sans:wght@700;400
28,Fraunces,Cabin,Optical serif heading with clean humanist body,optical;serif;contrast;editorial,https://fonts.google.com/share?selection.family=Fraunces:wght@700|Cabin:wght@400
29,Plus Jakarta Sans,Plus Jakarta Sans,Modern Indonesian-inspired rounded sans pairing,modern;rounded;friendly;tech,https://fonts.google.com/share?selection.family=Plus+Jakarta+Sans:wght@700;400
30,Clash Display,Satoshi,Contemporary display pairing for modern branding,contemporary;branding;display;modern,https://fonts.google.com/share?selection.family=Clash+Display:wght@700|Satoshi:wght@400
31,Unbounded,Unbounded,Rounded expanded display for futuristic interfaces,futuristic;expanded;display;bold,https://fonts.google.com/share?selection.family=Unbounded:wght@700;400
32,Epilogue,Epilogue,Versatile system pairing for digital products,versatile;digital;product;clean,https://fonts.google.com/share?selection.family=Epilogue:wght@700;400
33,Outfit,Outfit,Friendly geometric rounded for consumer apps,friendly;geometric;consumer;app,https://fonts.google.com/share?selection.family=Outfit:wght@700;400
34,General Sans,General Sans,Versatile geometric sans for modern interfaces,versatile;geometric;modern;interface,https://fonts.google.com/share?selection.family=General+Sans:wght@700;400
35,Neue Montreal,Inter,Swiss-inspired neutral heading with readable body,swiss;neutral;minimal;professional,https://fonts.google.com/share?selection.family=Inter:wght@700;400
36,Cardo,Noto Sans,Scholarly traditional pairing for educational content,scholarly;educational;traditional;content,https://fonts.google.com/share?selection.family=Cardo:wght@700|Noto+Sans:wght@400
37,Spectral,Source Sans Pro,Literary serif heading for content-rich platforms,literary;content;serif;platform,https://fonts.google.com/share?selection.family=Spectral:wght@700|Source+Sans+Pro:wght@400
38,Fjalla One,Cantarell,Nordic bold compressed heading with light body,nordic;compressed;bold;strong,https://fonts.google.com/share?selection.family=Fjalla+One|Cantarell:wght@400
39,Saira,Saira Condensed,Versatile variable font pairing for data apps,data;variable;condensed;systematic,https://fonts.google.com/share?selection.family=Saira:wght@700|Saira+Condensed:wght@400
40,Overpass,Overpass Mono,Hacker tech pairing with mono body for dev tools,hacker;developer;mono;technical,https://fonts.google.com/share?selection.family=Overpass:wght@700|Overpass+Mono:wght@400
41,Chivo,Chivo Mono,Bold mono pairing for developer and code interfaces,developer;code;mono;technical,https://fonts.google.com/share?selection.family=Chivo:wght@700|Chivo+Mono:wght@400
42,DM Serif Display,DM Sans,High contrast serif display with geometric body,high-contrast;serif;display;modern,https://fonts.google.com/share?selection.family=DM+Serif+Display|DM+Sans:wght@400
43,Bodoni Moda,Lato,High-fashion luxe magazine pairing,luxury;fashion;magazine;high-fashion,https://fonts.google.com/share?selection.family=Bodoni+Moda:wght@700|Lato:wght@400
44,Abril Fatface,Raleway,Bold decorative display with elegant body,decorative;bold;display;elegant,https://fonts.google.com/share?selection.family=Abril+Fatface|Raleway:wght@400
45,Anton,Open Sans,High impact compressed display for sports,sports;impact;compressed;bold,https://fonts.google.com/share?selection.family=Anton|Open+Sans:wght@400
46,Teko,Roboto,Indian condensed display for gaming UIs,gaming;condensed;display;tech,https://fonts.google.com/share?selection.family=Teko:wght@700|Roboto:wght@400
47,Calistoga,Lato,Rounded ink-trap display with clean body,ink-trap;rounded;display;friendly,https://fonts.google.com/share?selection.family=Calistoga|Lato:wght@400
48,Yeseva One,Josefin Sans,Decorative feminine display with geometric body,feminine;decorative;display;elegant,https://fonts.google.com/share?selection.family=Yeseva+One|Josefin+Sans:wght@400
49,Rozha One,Hind,Bold Indian-influenced display for diverse apps,bold;diverse;display;strong,https://fonts.google.com/share?selection.family=Rozha+One|Hind:wght@400
50,Alfa Slab One,Noto Sans,Ultra bold slab display for maximum impact,slab;ultra-bold;impact;poster,https://fonts.google.com/share?selection.family=Alfa+Slab+One|Noto+Sans:wght@400
51,Sora,Sora,Elegant geometric Japanese-influenced sans pairing,japanese;geometric;elegant;modern,https://fonts.google.com/share?selection.family=Sora:wght@700;400
52,Urbanist,Urbanist,Geometric low-contrast for contemporary products,geometric;contemporary;low-contrast;product,https://fonts.google.com/share?selection.family=Urbanist:wght@700;400
53,IBM Plex Sans,IBM Plex Mono,IBM corporate technical pairing for data products,corporate;technical;data;IBM,https://fonts.google.com/share?selection.family=IBM+Plex+Sans:wght@700|IBM+Plex+Mono:wght@400
54,Fira Sans,Fira Code,Firefox-designed pairing for developer tools,developer;mozilla;code;technical,https://fonts.google.com/share?selection.family=Fira+Sans:wght@700|Fira+Code:wght@400
55,Jost,Jost,Futura-inspired geometric for brand design,futura;geometric;brand;classic,https://fonts.google.com/share?selection.family=Jost:wght@700;400
56,Schibsted Grotesk,Schibsted Grotesk,Scandinavian news-quality pairing for editorial,scandinavian;news;editorial;quality,https://fonts.google.com/share?selection.family=Schibsted+Grotesk:wght@700;400
57,Space Mono,Space Mono,Monospace retro pairing for coding and dev tools,mono;retro;code;developer,https://fonts.google.com/share?selection.family=Space+Mono:wght@700;400
